Event_ID,Date_Event_Began,Time_Event_Began,Date_of_Restoration,Time_of_Restoration,Area_Affected,NERC_Region,Alert_Criteria,Event_Type,Demand_Loss_MW,Number_of_Customers_Affected,Category
1,1/18/2010,11:30:00,,,Northern and Central California,WECC,,Severe Storm,290,1700000,Weather
2,1/20/2010,13:00:00,,,"City of Los Angeles, California",WECC,,Severe Storm,,147223,Weather
3,5/18/2010,8:15:00,,,Central California,WECC,,Breakers Tripped,318,,Equipment
4,6/6/2010,4:45:00,,,Northern California,WECC,,Electric System Separation,3,2650,Islanding
5,6/25/2010,23:36:00,,,Northern California,WECC,,Electrical System Separation,,,Islanding
6,7/29/2010,18:39:00,,,Southern California,WECC,,"Shed Interruptible Load, Wildfire",522,,Wildfire
7,7/29/2010,18:39:00,,,Southern California,WECC,,"Shed Interruptible Load, Wildfire",522,,Wildfire
8,8/2/2010,12:00:00,,,Central California,WECC,,Fuel Supply Deficiency (Hydro),,,Fuel Supply Deficiency
9,9/1/2010,10:20:00,,,"Pittsburg (Bay Area), California",WECC,,Electrical System Separation (Islanding),31,15000,Islanding
10,9/22/2010,6:12:00,,,"Bakersfield, California",WECC,,Firm Load Shed,526,,Load Shed
11,9/27/2010,15:15:00,,,Central and Southern California,WECC,,Interruptible Load Shed,595,,Load Shed
12,10/5/2010,5:45:00,,,"City of Los Angeles, California",WECC,,Rain and High Winds,,73514,Weather
13,10/27/2010,17:16:00,,,Northern California,WECC,,Electrical System Separation-Islanding,16,2674,Islanding
14,10/31/2010,22:26:00,,,"Bakersfield, California",WECC,,Firm System Load Loss,500,,Load Shed
15,11/6/2010,15:53:00,,,Northern California,WECC,,Electrical System Separation - Islanding,20,4,Islanding
16,11/21/2010,1:39:00,,,Northern and Central California,WECC,,Winter Storm,75,60000,Weather
17,11/23/2010,14:01:00,,,Northern California,WECC,,Electrical System Separation - Islanding,22,7077,Islanding
18,12/3/2010,21:32:00,,,California,WECC,,Electrical System Separation - Islanding,22,7077,Islanding
19,12/14/2010,7:20:00,,,California,WECC,,Electrical System Separation - Islanding,9,6635,Islanding
20,12/14/2010,7:36:00,,,Southern California,WECC,,Transmission Equipment/Firm System Load,464,,Load Shed
21,2/3/2011,15:00:00,,12:00:00,"San Diego area, California",WECC,,Fuel Supply Deficiency (Natural Gas),,,Fuel Supply Deficiency
22,2/17/2011,13:00:00,,16:53:00,"Roseville, California",WECC,,Suspected Cyber Attack,0,0,Cyber Attack
23,2/17/2011,1:25:00,,10:13:00,Northern and Central California,WECC,,Major Storm,91,80000,Weather
24,2/25/2011,8:00:00,,17:30:00,Northern and Central California,WECC,,Winter Storm,91,80000,Weather
25,3/11/2011,7:02:00,,9:15:00,"Humboldt and Eureka, California",WECC,,Generation Inadequacy/Load Shed,15,6800,Generation Interruption
26,3/19/2011,23:56:00,,19:10:00,Northern and Central California,WECC,,Major Storm,91,128000,Weather
27,3/20/2011,9:44:00,,10:00:00,"Los Angeles, California",WECC,,Major Storm,,79000,Weather
28,3/21/2011,12:35:00,,14:45:00,Southern California,WECC,,Major Storm,150,54332,Weather
29,3/27/2011,13:27:00,,17:00:00,"Sonoma and Central Valley, California",WECC,,Transmission Level Outage,295,165000,Transmission Interruption
30,6/4/2011,1:17:00,,3:25:00,"Midway, California",WECC,,Vandalism,,420,Physical Attack
31,6/5/2011,20:02:00,,20:55:00,"Melones, California",WECC,,Electrical System Separation (Islanding),10,5314,Islanding
32,6/9/2011,14:15:00,,14:15:00,"San Antonio Dam Area, Los Angeles County, California",WECC,,Suspected Physical Attack,0,0,Physical Attack
33,7/12/2011,20:20:00,,21:30:00,California,WECC,,Suspected Physical Attack,,,Physical Attack
34,9/8/2011,15:28:00,,15:30:00,Arizona; California,WECC,,Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,7000,2000000,Generation Interruption
35,11/30/2011,16:56:00,,10:00:00,"City of Los Angeles, California",WECC,,Severe Weather,,150000,Weather
36,12/1/2011,0:45:00,,21:00:00,Southern California,WECC,,Severe Weather,,91690,Weather
37,12/1/2011,3:29:00,,13:05:00,Northern California,WECC,,Severe Weather,300,100000,Weather
38,2/28/2012,2:59:00,,6:12:00,"Sacramento, California",WECC,,Electrical System Separation (Islanding),1,1,Islanding
39,4/4/2012,15:32:00,,15:30:00,"WAPA-SNR Regional Office, California",WECC,,Suspected Physical Attack,,,Physical Attack
40,4/17/2012,6:11:00,,17:48:00,"San Diego County, California",WECC,,Suspected Physical Attack,0,0,Physical Attack
41,6/2/2012,7:30:00,,11:35:00,"San Francisco, California",WECC,,Vandalism,,,Physical Attack
42,6/19/2012,5:30:00,,5:30:00,CAISO Territory California,WECC,,Fuel Supply Deficiency (Water),,,Fuel Supply Deficiency
43,7/7/2012,4:00:00,,4:00:00,CAISO California,WECC,,Fuel Supply Deficiency (Water),,0,Fuel Supply Deficiency
44,8/4/2012,3:55:00,,4:21:00,"Temblor Substation in McKittrick, California",WECC,,Electrical System Separation (Islanding),5,127,Islanding
45,9/6/2012,4:45:00,,,"Oroville, California",WECC,,Fuel Supply Deficiency (Water),,,Fuel Supply Deficiency
46,10/5/2012,17:30:00,,17:50:00,"Greater Sacramento, California",WECC,,Suspected Physical Attack,,,Physical Attack
47,10/14/2012,10:36:00,,10:50:00,Northern California,WECC,,Electrical System Separation (Islanding),3,2035,Islanding
48,12/2/2012,5:20:00,,9:00:00,Northern California,WECC,,Severe Weather - Winter Storm,250,125000,Weather
49,12/6/2012,21:18:00,,21:31:00,"Greater San Jose, California",WECC,,Load Shed,390,,Load Shed
50,2/19/2013,16:01:00,,12:55:00,"Stockton, California",WECC,,Electrical System Separation (Islanding),13850,6810,Islanding
51,3/3/2013,6:39:00,,10:29:00,"Merced County, California",WECC,,Transmission System Interruption,300,58850,Transmission Interruption
52,4/16/2013,1:47:00,,15:25:00,California,WECC,,"Loss of Part of a High Voltage Substation, Physical Attack",,0,Physical Attack
53,4/23/2013,0:49:00,,4:04:00,"South of Humboldt, California",WECC,,Electrical System Separation (Islanding),80,1,Islanding
54,4/25/2013,16:00:00,,10:55:00,"Sunol, California",WECC,,Vandalism,0,0,Physical Attack
55,5/13/2013,12:52:00,,,Central California,WECC,,Fuel Supply Emergency - Hydro,176,,Fuel Supply Deficiency
56,6/23/2013,21:20:00,,1:35:00,Central Coast California,WECC,,Severe Weather - Fog,,148000,Weather
57,6/28/2013,18:02:00,,20:46:00,"Los Angeles and Orange Counties, California",WECC,,Equipment Failure,240,65255,Equipment
58,7/3/2013,9:34:00,,10:52:00,Sacramento California,WECC,,Suspected Physical Attack,0,0,Physical Attack
59,7/5/2013,0:05:00,,1:51:00,California,WECC,,Physical Attack; Vandalism,,2500,Physical Attack
60,7/18/2013,23:45:00,,10:05:00,Southern Orange County California,WECC,,Equipment Failure,200,123000,Equipment
61,7/22/2013,7:00:00,,15:00:00,California,WECC,,Physical Attack; Vandalism,,,Physical Attack
62,8/19/2013,19:06:00,,6:02:00,Central California,WECC,,Severe Weather - Lightning Strike,685,124000,Weather
63,10/19/2013,14:32:00,,22:00:00,California,WECC,,Physical Attack,,,Physical Attack
64,11/12/2013,14:04:00,,14:05:00,"Valle, California",WECC,,Electrical System Separation (Islanding),55,48400,Islanding
65,11/21/2013,19:45:00,,3:20:00,Northern California,WECC,,Severe Weather - Wind Storm,150,89500,Weather
66,2/6/2014,13:00:00,,22:00:00,California,WECC,,Fuel Supply Emergency - Natural Gas,4000,,Fuel Supply Deficiency
67,2/6/2014,13:05:00,,19:15:00,Northern California,WECC,,Fuel Supply Emergency - Natural Gas,160,,Fuel Supply Deficiency
68,2/6/2014,14:15:00,,19:39:00,California,WECC,,Fuel Supply Emergency - Natural Gas,611,,Fuel Supply Deficiency
69,4/8/2014,13:00:00,,13:01:00,"Davis, California",WECC,,Physical Attack - Vandalism,,,Physical Attack
70,5/8/2014,8:39:00,,8:40:00,"Imperial Valley, California",WECC,,Physical Attack,,,Physical Attack
71,5/14/2014,15:34:00,,,"San Diego & Orange Counties, California",WECC,,Public Appeal to Reduce Electricity Usage - Wild Fires,,426,Wildfire
72,5/15/2014,10:43:00,,,"San Diego & Orange Counties, California",WECC,,Public Appeal to Reduce Electricity Usage - Wild Fires,3300,1400000,Wildfire
73,5/16/2014,10:43:00,,21:00:00,"San Diego & Orange Counties, California",WECC,,Public Appeal to Reduce Electricity Usage - Wild Fires,3900,1400000,Wildfire
74,7/24/2014,16:29:00,,23:32:00,California,WECC,,Load shedding of 100 Megawatts,126,26856,Load Shed
75,7/27/2014,23:00:00,,4:00:00,Central California,WECC,,Uncontrolled Loss of 300 Megawatts,480,1,?
76,8/24/2014,3:20:00,,7:05:00,"North of San Francisco, California",WECC,,Earthquake,95,70000,Natural Disaster
77,9/16/2014,11:56:00,,11:57:00,California,WECC,,Physical Attack - Vandalism,,,Physical Attack
78,11/19/2014,14:44:00,,14:45:00,"Victorville, California",WECC,,Suspected Physical Attack - Vandalism,,,Physical Attack
79,12/11/2014,7:21:00,,21:53:00,"San Francisco, California",WECC,,Distribution Interruption - Unknown Cause,225,75000,Distribution Interruption
80,12/11/2014,6:40:00,,,Northern California,WECC,,Severe Weather- High Winds,,,Weather
81,12/11/2014,23:15:00,,,Northern California,WECC,,Severe Weather- High Winds,,,Weather
82,12/30/2014,13:08:00,,16:50:00,Northern California,WECC,,Severe Weather- High Winds,127,84500,Weather
83,2/4/2015,11:55:00,,11:56:00,"Vollmers, California",WECC,Suspected Physical Attack,Vandalism,,,Physical Attack
84,2/5/2015,11:20:00,,11:21:00,"Dunismuir, California",WECC,Suspected Physical Attack,Vandalism,,,Physical Attack
85,2/6/2015,20:58:00,,,Northern California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Wind,,65000,Weather
86,3/26/2015,15:21:00,,16:59:00,"Contra Costa County, California",WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,15,,Islanding
