Year,Utility_Number,Utility_Name_x,State,Residential_Customer_Count,Commercial_Customer_Count,Industrial_Customer_Count,Transportation_Customer_Count,Total_Customer_ Count,Utility_Name_y,county
2023,207,Alameda Municipal Power,CA,"32,803","4,247",.,.,"37,050",Alameda Municipal Power,Alameda
2023,590,City of Anaheim - (CA),CA,"105,422","17,500",290,.,"123,212",City of Anaheim - (CA),Orange
2023,1050,City of Azusa,CA,"14,935","1,954",28,.,"16,917",City of Azusa,Los Angeles
2023,2507,City of Burbank Water and Power,CA,"46,688","7,041",.,.,"53,729",City of Burbank Water and Power,Los Angeles
2023,4003,City of Colton - (CA),CA,"17,135","2,083",291,.,"19,509",City of Colton - (CA),San Bernardino
2023,4390,City of Corona - (CA),CA,"1,286",547,9,0,"1,842",City of Corona - (CA),Riverside
2023,4390,City of Corona - (CA),CA,0,926,5,0,931,City of Corona - (CA),Riverside
2023,5969,City of Escondido - (CA),CA,.,1,.,.,1,City of Escondido - (CA),San Diego
2023,7294,City of Glendale - (CA),CA,"77,188","13,368",22,.,"90,578",City of Glendale - (CA),Los Angeles
2023,9216,Imperial Irrigation District,CA,"140,906","21,868",805,0,"163,579",Imperial Irrigation District,Imperial
2023,9216,Imperial Irrigation District,CA,"140,906","21,868",805,0,"163,579",Imperial Irrigation District,Riverside
2023,9216,Imperial Irrigation District,CA,"140,906","21,868",805,0,"163,579",Imperial Irrigation District,San Diego
2023,10325,Kings River Conservation Dist,CA,.,1,.,.,1,Kings River Conservation Dist,Fresno
2023,11124,City of Lodi - (CA),CA,"23,449","2,164",24,.,"25,637",City of Lodi - (CA),San Joaquin
2023,11208,Los Angeles Department of Water & Power,CA,"1,400,054","90,727","9,425",2,"1,500,208",Los Angeles Department of Water & Power,Inyo
2023,11208,Los Angeles Department of Water & Power,CA,"1,400,054","90,727","9,425",2,"1,500,208",Los Angeles Department of Water & Power,Los Angeles
2023,12312,Merced Irrigation District,CA,"11,089","1,627",100,.,"12,816",Merced Irrigation District,Merced
2023,12745,Modesto Irrigation District,CA,"102,862","29,798",143,0,"132,803",Modesto Irrigation District,San Joaquin
2023,12745,Modesto Irrigation District,CA,"102,862","29,798",143,0,"132,803",Modesto Irrigation District,Stanislaus
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Alameda
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Alpine
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Amador
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Butte
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Calaveras
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Colusa
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Contra Costa
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,El Dorado
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Fresno
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Glenn
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Humboldt
2023,14328,Pacific Gas & Electric Co.,CA,"1,832,407","197,410","91,736",0,"2,121,553",Pacific Gas & Electric Co.,Kern
